"","Sub1","Gnas","Ctsd","Kif1a","Tcf25","Aldoa","Pkm","Slc25a3","Hspa8","Rpl41","Gabarapl1","Gm6682","Oxct1","Atp6v0c-ps2","Purb","Atp6v1a","Eif4g2","Rps27a","Ubc","Cltc","Tspan3","Aplp2","Lars2","Tspan7","Ndufa4","Sumo1","Rpl7","Dynlrb1","Ndufv3","Gstm5","Gm15421","Ndufa5","Cox7b","Rnasek","Uqcrh","Ndufb10","Eif4a2","Atp5j2","Ldhb","Atp5f1","Ndufa13","Uqcrc2","Ndufv2","Atp5j","Ndufa11","Ndufa6","Atp6v1f","Ndufb9","Akr1a1","Mdh1","Vdac3","Sod1","BC002163_loc1","Ndufb5","Hspe1","Gpx4","Cox4i1","Npm1","Myl12b","Hint1","Gpi1","Atp6v1e1","Atp5h","Gm5506_loc1","Gabarapl2","Atp5g3","Acot7","Tuba1b","Slc25a4","Chchd2","Atp5b","Prdx2","Ckb","Morf4l2","Tuba1a","Ran","Atp6ap2","Skp1a","Ppp2r1a","Cst3","Ubb","Mdh2","Ndufa12","Pgk1","Atp5a1","Atp5o","Ghitm","Uqcrq","Ndufb8","Cox6a1","Camk2n1","Slc1a2","H2afz","Ubl5","Timm8b","Vps29","Calm1","Ppia","Nap1l1","Grcc10","Tubb5","Rps28","Rps24","Rps15a-ps4","Rpl32","Rps20","Rplp1","Sumo2","Rpl39","Polr2l","Rps29","Cox8a","Vmp1","Tomm7","Tpi1","Atp5l","Atp5e","Mif","Atp5k","Cox7c","Cox6b1","Cox7a2","Usmg5","Cox6c","Atp6v1d","Nedd8","Atpif1","Atp5c1","Scg5","Ndufb4","Uqcr10","Nme1","Ndufc1","Cycs","2010107E04Rik","Ndufa1","Uqcr11","Meg3","Luc7l3","Pea15a","Ttc3","Gdi1","G3bp2","Arl6ip1","Hsp90aa1","Tmod2","Ywhaq","Atxn7l3b","Serinc1","Sparcl1","Hsp90ab1","Ywhaz","Matr3","Actg1","H3f3b","Actb","Gpm6a","Dynll1","Gpm6b","Gstp1","Itm2b","Fkbp1a","Sh3bgrl3","Calm2","Brk1","Nmt1","Capza2","Fth1","Tmsb4x","Slc22a17","Ywhab","Prkar1a","Psap","Tmem30a","Ncam1","Map1a","Dpysl2","Cfl1","App","Map1b","Syt11","Sptbn1","Cpe","Aplp1","2900097C17Rik","Ywhae","Rtn3","Serbp1","Eef1a1","Canx","Pja2","Calm3","Arf1","Trim2","Ppp3ca","Zeb2","Tppp","Tcf4","Gnao1","Gria2","Atp2b1","Rab6a","Ctsb","Prnp","Rtn4","Nptn","Prkcb","Kif1b","Atp2a2","Egr1","Scd2","Hmgcs1","Taldo1","Ctsl","Ptma","Ftl1","Cd81","1810037I17Rik","Prdx1","Malat1","Ptn","Pcdh9","Ptprd","Rnf7","Sf3b1","Eef1b2","Myeov2","Prrc2c","H3f3a","Rps12","Amd2","Ank3","Cisd1","Ndufs7","Oaz1-ps","Eef2","Hsp90b1","Metap2","Naca","Myl6","Sec61g","Ccdc88a","Gnb2l1","Gm15772","Eif4a1","Gabarap","Psmb6","Nme2","Spag9","Rpl23","Rpl19","Eif1","Rpl27","Mapt","Ddx5","Rpl38","Rpl36al","Actr10","Psma3","Erh","Srsf5","Rbm25","Dync1h1","Prpf4b","Hnrnpk","Ndufs6","Sdha","Cetn3","Rps23","Btf3","Vdac2","Selk","Spcs1","Hnrnpc","Dad1","Bnip3l","Tpt1","Mbnl2","Cct5","Pabpc1","Rpl8","Tnrc6b","Rbx1","Tmbim6","Pfdn5","Rpl31-ps12","Rpl35a","Cox17","Rpl24","Son","Gtf2h5","Mpc1","Psmb1","Tceb2","Gm6402","Ndufa7","Rps18","Cox7a2l","Paip2","Pura","Ndufa2","Rps14","BC031181","Ier3ip1","Fau","Hspa5","Rab14","Rpl35","Ssb","Dync1i2","Psmc3","Srp14","Serf2","Hypk","Dstn","Csnk2a1","Eif2s2","Rbm39","Top1","Serinc3","Psma7","Rps21","Sec62","Rps3a1","Csde1","Psma5","Sars","Sep-15","Zranb2","Sdcbp","Rab2a","Sfrs18","Dnaja1","Vcp","Atp6v1g1","Rps6","Tmem59","Scp2","Atp6v0b","Psmb2","Tmem50a","Srrm1","Cdc42","Eif4g3","Minos1","Sdhb","Park7","Kmt2e","Rpl5","Gm13826","Fis1","Arpc1a","Pdap1","Pomp","Hmgb1","Shfm1","Mrps33","Hnrnpa2b1","Cbx3","Mat2a","Cct7","Cnbp","Gm6654","Ndufa3","Rps9","Clcn4-2","Rps5","Rps16","Rpl13a","Ndufc2","Rps3","Fam168a","1110004F10Rik","Rps13","Eif3c","Rplp2","Lamp1","Tmem66","Clcn3","Uba52","Rpl18a","Ndufb7","Tecr","Vps35","Psmd7","Hsbp1","Map1lc3b","Elavl3","Sep-07","Rps25","Psma4","Rpl4","Ppib","Nedd4","Tma7","Rpsa","Ndufb11","Slc25a5","Atp6ap1","Atrx"
"1772071015_C02",28,63,2,19,10,85,16,19,48,4,7,6,18,50,14,40,6,12,10,14,20,32,28,6,24,6,6,2,4,3,4,22,7,16,5,6,18,26,7,8,13,5,7,14,9,14,3,6,15,32,8,8,1,6,6,7,11,3,10,7,23,23,9,6,10,32,3,20,27,32,29,7,37,7,22,1,8,5,11,17,12,4,1,7,16,16,31,17,5,3,31,16,7,2,4,4,121,60,10,9,3,10,1,0,7,4,15,3,3,8,14,35,2,8,18,9,23,4,15,14,25,26,20,17,0,1,9,7,53,4,11,8,0,9,5,13,10,18,13,31,24,24,18,6,99,3,15,20,30,32,119,31,14,43,31,27,17,10,3,21,24,14,4,56,2,1,1,9,19,9,14,16,22,18,9,4,36,10,89,51,18,19,24,36,46,7,34,5,56,31,18,39,8,11,7,18,9,78,14,17,7,22,11,5,10,16,6,27,44,1,1,4,2,4,8,15,4,3,1,822,0,3,32,0,3,2,5,19,6,3,2,16,3,2,7,14,25,3,2,20,8,1,3,1,21,3,2,0,6,7,8,9,4,11,22,7,3,5,3,4,7,0,8,1,7,3,7,1,3,4,4,0,16,8,5,3,8,3,1,6,2,3,3,3,2,2,3,5,9,10,5,9,8,9,1,5,12,9,6,18,4,3,2,5,9,8,13,3,2,4,2,3,5,7,7,3,17,9,8,13,0,7,9,3,7,2,10,1,6,1,1,3,9,5,2,6,5,1,6,2,4,4,16,6,3,2,10,5,5,9,2,5,4,5,3,5,5,11,7,6,7,5,1,7,3,4,6,3,4,4,9,3,0,7,6,4,6,2,14,16,9,5,24,2,3,9,7,21,13,12,12,7,5,5,6,3,9,4,14,3
"1772071017_G12",41,29,21,34,10,45,25,27,37,14,20,5,8,62,17,31,11,10,21,30,7,32,57,6,32,15,9,2,5,2,7,7,15,7,24,9,25,21,34,19,18,6,14,34,10,7,4,9,16,78,4,6,3,12,14,5,23,14,20,16,3,34,22,14,11,45,5,27,68,13,28,6,33,11,23,9,18,11,6,11,6,13,14,7,14,11,16,36,11,14,8,3,2,5,7,2,68,55,3,4,5,11,1,5,17,7,21,4,13,5,22,30,1,11,28,26,13,9,15,45,39,23,52,34,12,6,30,16,38,4,18,11,17,38,31,6,15,28,2,3,22,8,17,18,86,1,11,17,37,51,95,29,7,30,12,29,8,10,0,1,11,1,0,86,2,5,2,15,14,29,11,22,12,17,10,5,29,7,78,33,29,18,45,1,48,9,32,4,35,33,20,37,8,22,6,19,6,38,12,15,4,16,3,4,15,15,11,19,13,5,2,6,1,10,10,9,6,2,3,869,0,9,5,7,8,2,14,22,1,0,8,7,14,6,8,14,11,8,3,5,15,2,3,7,13,2,3,1,2,4,4,8,5,9,17,6,6,1,4,7,0,4,4,1,8,0,12,3,5,4,5,7,9,9,9,1,8,1,8,5,7,1,3,6,4,10,3,7,4,8,1,1,8,12,2,3,5,13,4,3,4,5,7,5,13,0,3,13,1,3,2,6,5,6,10,5,10,9,4,13,4,5,13,14,7,3,13,2,5,1,5,2,10,17,1,6,6,0,15,2,6,6,19,2,7,3,1,2,1,7,4,2,1,4,13,6,4,15,3,4,1,7,4,13,7,17,2,2,6,6,4,8,2,3,6,1,1,1,16,14,5,12,25,0,3,4,4,9,8,3,5,8,3,8,9,5,11,8,7,8
"1772071017_A05",57,63,5,50,14,62,17,30,58,9,22,18,17,66,26,79,18,10,27,19,25,42,74,18,43,8,9,5,8,2,7,13,22,24,39,10,25,34,30,18,27,14,13,15,5,25,4,10,4,47,15,5,12,13,6,10,17,7,12,18,14,35,12,8,10,33,11,19,79,32,35,17,30,23,46,8,16,17,13,11,12,6,10,10,31,17,33,30,16,13,51,13,8,5,6,3,117,84,19,7,9,18,5,5,14,10,24,13,0,4,15,34,0,11,26,14,26,23,22,16,45,35,42,52,5,6,18,17,47,9,21,14,15,14,19,12,31,146,8,19,51,17,21,15,205,23,19,42,39,28,122,55,17,52,21,53,40,13,4,6,15,8,0,58,6,5,4,25,36,23,19,24,20,7,53,4,34,18,86,123,47,27,37,12,47,7,56,13,53,35,57,57,10,34,12,21,0,111,46,51,13,40,7,7,28,14,16,36,21,13,8,8,2,7,14,6,15,5,2,1237,0,4,29,2,12,10,11,3,10,4,10,28,9,6,14,17,17,25,5,25,11,8,8,9,13,4,7,1,5,8,9,6,1,24,40,14,5,2,3,0,4,17,2,2,6,7,16,4,6,3,6,6,4,11,5,5,9,6,13,18,13,7,13,3,6,13,3,5,7,16,5,4,12,6,6,9,5,13,7,18,21,7,5,3,14,10,18,21,6,19,8,6,4,5,2,5,13,12,7,7,5,3,32,18,3,6,19,4,16,1,7,6,16,17,16,20,3,8,25,7,5,10,19,11,7,6,5,12,2,8,5,6,13,3,12,7,0,20,7,18,5,9,3,12,8,24,9,9,17,10,12,6,7,9,11,6,2,6,25,18,11,6,25,1,21,10,7,10,20,2,12,13,3,8,7,7,12,8,13,9
"1772071014_B06",33,57,4,42,26,100,20,35,73,14,24,19,16,74,21,51,28,9,20,51,41,30,49,9,46,7,4,7,4,8,11,16,29,8,33,16,28,32,71,11,42,16,17,36,22,14,8,9,17,87,8,7,15,12,14,7,25,10,12,14,26,24,16,15,8,42,11,35,70,30,71,17,45,11,49,5,19,12,13,9,13,22,15,16,38,27,22,36,31,18,6,1,9,7,7,6,113,95,22,4,11,14,8,1,15,2,11,13,4,8,22,50,13,4,22,14,25,27,39,39,54,19,34,41,19,8,35,17,97,3,21,10,15,70,21,18,31,47,15,11,42,27,40,13,122,19,5,30,32,53,123,50,13,65,10,41,24,6,2,14,30,19,10,93,4,9,1,15,20,29,23,41,28,20,24,6,21,11,145,61,30,44,53,12,81,23,45,16,48,30,22,47,21,16,4,6,8,72,18,25,10,37,10,7,35,26,7,31,29,3,7,10,2,7,16,4,16,0,0,1252,0,20,14,12,7,3,7,10,0,1,7,20,3,9,16,13,18,7,7,12,17,5,4,6,20,4,5,1,3,14,5,13,6,11,20,5,5,5,10,4,3,7,10,3,18,20,27,4,4,3,10,8,11,16,6,9,15,4,16,10,3,2,6,5,5,8,1,7,6,4,4,9,7,18,0,6,18,10,3,7,21,7,8,3,17,32,23,16,8,4,4,3,6,0,6,4,8,8,9,18,22,6,11,18,8,8,15,5,8,5,5,4,12,23,5,12,3,12,18,8,12,9,37,13,10,10,14,8,5,6,7,3,11,3,15,11,5,26,5,12,3,13,7,18,5,11,2,4,14,8,0,13,6,10,6,9,2,1,8,20,5,10,20,6,8,5,6,21,16,9,14,10,1,4,11,3,18,6,9,20
"1772067065_H06",30,27,6,47,8,80,13,21,37,10,16,10,8,39,19,55,5,2,33,25,19,20,19,11,21,1,16,4,2,4,7,6,13,8,4,1,22,5,18,9,7,10,0,5,7,4,3,4,4,41,1,8,2,1,6,5,12,11,16,5,17,25,6,10,8,14,8,21,21,16,25,0,32,12,48,6,9,5,8,10,19,15,5,11,20,11,21,14,8,15,79,23,4,7,6,3,86,59,6,2,8,8,1,1,3,0,8,8,1,5,19,20,2,2,6,8,7,3,15,11,10,28,5,23,13,5,11,5,30,7,6,15,3,10,6,3,20,5,8,16,57,13,15,5,106,10,17,53,27,14,61,30,12,47,5,56,22,1,2,5,25,10,3,61,6,0,6,15,9,10,20,12,12,15,37,1,22,6,69,162,38,21,35,21,44,15,46,4,38,19,24,42,15,26,8,15,6,77,31,37,16,28,6,7,6,17,12,27,19,0,8,1,1,2,8,9,8,0,1,271,0,0,37,2,6,3,2,6,2,1,7,5,1,3,3,12,24,5,8,26,7,2,5,3,22,3,3,5,4,13,9,12,5,17,38,5,2,3,4,2,5,6,8,0,6,7,3,1,5,0,3,5,1,3,3,8,6,7,6,8,8,5,6,5,3,8,5,3,5,5,0,2,2,3,2,6,11,1,3,23,8,7,3,4,7,5,23,19,4,8,4,0,2,2,4,5,3,2,9,4,5,6,7,7,4,2,8,2,6,2,15,1,13,17,6,7,0,2,2,5,5,5,15,6,4,2,1,12,1,2,1,4,8,5,4,1,10,12,3,10,3,13,4,3,4,11,4,8,3,13,7,1,4,10,3,4,4,6,22,20,11,4,12,11,4,4,3,8,9,6,6,7,0,1,4,12,4,11,5,7
"1772071017_E02",13,51,10,45,13,74,10,32,45,22,20,8,10,57,12,27,21,8,21,18,19,23,37,21,54,3,8,9,4,5,0,10,20,5,11,12,20,14,20,15,17,11,6,11,20,10,6,12,8,56,8,9,8,7,2,2,20,8,13,13,15,22,11,21,7,39,9,19,31,12,43,10,43,10,42,5,12,9,11,7,2,26,11,9,37,16,10,22,21,8,12,10,5,5,4,5,63,50,16,5,12,12,3,1,14,1,6,0,7,5,12,29,0,2,20,15,12,22,6,5,13,23,25,25,16,1,23,3,39,7,12,9,3,15,9,1,9,82,11,20,64,15,10,15,89,30,5,21,52,43,106,29,17,31,16,48,19,20,3,9,16,6,2,81,2,2,4,17,13,35,10,31,17,7,38,18,25,10,129,47,35,7,41,32,50,21,33,15,22,35,27,47,10,15,14,11,2,63,31,31,11,45,8,11,28,12,12,22,18,14,5,0,0,4,7,8,9,0,4,631,0,9,14,4,9,2,7,9,0,3,11,13,2,7,7,8,28,0,1,16,3,5,2,5,13,2,4,4,10,4,8,9,7,16,19,5,4,2,2,4,6,9,15,3,12,4,18,3,4,2,7,1,7,7,7,7,12,5,5,11,2,2,2,2,2,8,3,3,7,9,1,5,9,6,3,3,5,2,11,11,6,4,4,8,10,5,21,1,5,6,1,6,0,5,9,6,13,11,4,10,1,4,9,3,11,5,2,2,5,0,3,1,14,6,5,1,5,1,8,4,2,7,10,6,9,2,5,7,5,13,4,4,3,1,2,8,3,17,9,8,9,17,3,6,5,7,6,4,5,6,10,9,1,2,10,4,1,2,17,9,6,5,20,7,16,6,5,18,9,1,2,5,0,10,13,2,7,14,12,11
"1772067065_B07",27,150,3,41,32,63,24,32,51,7,28,2,15,73,31,56,11,7,10,21,15,39,28,94,53,4,0,11,5,2,3,9,15,4,13,3,20,15,34,4,11,7,7,9,10,9,3,14,11,55,12,10,8,5,9,8,14,0,9,6,22,16,18,11,5,46,6,23,58,14,49,11,43,13,41,5,26,18,14,10,1,27,4,21,32,20,27,22,8,10,25,12,4,9,6,5,104,33,8,8,14,2,5,1,10,6,14,8,3,2,14,36,3,1,26,7,22,11,1,5,15,9,11,43,10,7,10,10,46,3,2,13,9,18,7,13,13,66,15,13,99,20,19,12,165,20,8,26,67,13,106,57,27,49,7,46,36,13,9,6,27,9,1,77,3,3,6,23,31,27,42,23,30,21,39,23,39,23,99,124,58,22,39,11,68,22,66,17,37,40,22,35,18,19,7,8,16,101,46,57,25,29,6,18,23,24,13,51,23,5,16,5,2,9,8,7,6,1,5,986,0,2,98,7,15,4,5,13,1,3,17,21,5,6,8,16,31,5,5,7,9,6,6,3,19,12,1,8,8,6,3,14,4,30,23,10,3,14,1,5,4,7,20,6,10,8,20,3,2,1,3,10,4,9,5,18,12,5,7,12,2,5,11,12,3,1,3,2,7,9,6,3,4,11,2,1,5,8,9,15,3,3,3,3,12,8,10,11,6,19,7,9,8,8,5,5,12,9,10,18,4,0,19,6,6,4,12,9,5,3,7,4,8,19,6,6,7,5,8,2,2,3,12,19,1,6,4,13,3,5,6,7,10,1,2,6,3,13,12,17,3,10,2,6,6,12,3,2,7,13,2,18,10,2,8,3,4,4,7,5,5,3,14,9,14,4,3,12,11,4,13,10,1,10,5,5,7,13,17,9
"1772067060_B09",17,59,8,24,15,45,17,13,47,9,13,7,13,37,17,28,9,2,9,13,6,14,5,17,21,5,3,2,1,4,2,10,12,10,12,8,28,6,11,2,7,3,6,2,8,4,3,5,7,32,5,6,4,4,3,6,5,11,4,9,9,11,4,14,9,16,12,22,28,12,20,5,25,15,30,4,18,14,7,16,0,11,4,9,25,6,9,1,2,4,8,6,6,3,3,2,72,39,11,3,10,5,5,0,5,3,6,4,2,3,5,16,2,2,10,3,8,14,5,8,15,8,14,7,7,8,8,5,30,2,6,7,7,10,9,1,4,69,22,15,70,26,17,15,78,10,9,19,32,8,53,13,21,29,14,25,42,6,5,5,20,6,4,37,2,7,6,8,25,12,28,10,17,11,16,11,21,13,78,42,39,22,20,19,24,7,23,12,22,22,32,27,6,23,9,14,8,77,23,30,65,20,10,6,38,9,16,8,18,9,13,5,1,3,9,6,11,3,3,208,0,9,11,1,7,2,5,15,0,1,4,17,3,4,6,6,23,1,3,8,1,8,5,4,7,4,1,1,4,5,7,9,6,21,9,5,3,6,1,3,6,16,5,5,5,9,12,2,2,5,3,5,1,8,4,7,4,2,10,5,6,7,8,7,2,5,1,1,8,17,1,2,4,4,2,5,6,1,10,18,5,2,2,6,14,5,18,5,8,13,3,6,8,1,2,6,6,6,5,11,10,3,16,6,7,2,5,2,2,1,11,12,11,7,1,4,9,2,10,1,2,4,6,10,4,7,6,8,1,4,3,7,7,3,0,3,4,21,9,8,7,2,5,3,4,7,1,3,9,4,6,6,2,4,4,12,5,4,8,3,5,1,7,5,12,7,7,8,8,4,5,1,1,13,4,9,4,3,17,14
"1772071014_E04",23,52,6,19,19,75,13,23,53,17,16,13,15,40,25,51,21,10,33,18,14,17,21,57,39,1,3,6,5,2,3,17,13,12,6,0,27,21,34,10,7,6,6,13,9,8,7,8,3,49,3,9,4,4,8,10,9,4,18,11,14,31,10,13,1,35,9,33,49,19,31,8,23,18,61,7,10,11,1,6,11,14,4,12,31,13,15,5,5,9,25,17,7,4,2,4,85,41,5,3,8,10,5,0,19,1,3,12,4,12,16,14,0,8,16,12,16,25,15,36,18,19,15,15,9,17,15,12,48,2,10,19,13,13,9,10,6,23,14,11,49,21,13,7,118,11,22,20,47,0,102,43,8,46,13,17,34,18,4,16,38,10,0,79,2,2,3,14,37,21,21,9,13,16,30,5,39,10,67,58,33,22,25,11,31,29,46,6,43,10,26,32,5,11,14,7,5,44,28,47,11,29,14,13,16,20,14,20,19,2,12,12,2,5,22,7,9,1,1,397,0,9,36,4,3,1,6,6,11,4,11,17,9,3,14,12,22,8,6,11,12,3,3,6,12,6,5,8,9,10,9,6,5,14,15,8,8,5,3,4,7,10,3,8,6,13,14,1,5,3,5,2,1,2,6,7,16,5,2,6,12,5,7,4,5,2,4,9,3,12,8,6,8,17,6,5,14,4,4,13,3,4,11,1,12,7,17,19,3,3,4,6,3,3,4,2,13,4,6,7,3,3,12,11,5,5,5,2,4,2,12,5,10,16,2,10,3,1,29,6,5,2,13,6,5,2,7,9,4,10,5,6,8,0,10,2,0,10,5,6,2,5,7,11,3,3,5,6,9,5,22,1,7,7,4,8,4,3,24,15,10,1,33,4,8,6,5,9,9,3,6,4,5,9,5,6,3,6,11,9
"1772071015_D04",31,48,3,27,17,85,10,29,64,12,18,25,13,54,25,42,20,4,32,19,28,26,27,17,36,13,5,10,4,10,3,17,29,10,17,14,36,18,22,7,12,5,9,27,25,11,7,11,4,49,7,16,5,5,7,8,14,10,15,26,15,36,10,11,7,22,12,46,54,18,30,7,22,24,91,6,19,15,13,22,7,11,6,8,30,27,14,15,13,11,18,1,7,9,9,8,109,77,9,11,14,8,3,1,5,1,14,7,7,10,24,29,1,1,34,6,16,17,15,18,32,22,39,16,6,16,13,12,33,7,8,9,12,22,23,11,18,41,4,25,78,29,14,14,130,7,27,41,42,1,75,18,22,41,21,48,44,16,1,10,55,10,6,83,6,7,4,15,30,10,26,10,16,7,41,5,27,7,58,21,26,20,28,21,49,19,45,8,32,21,18,50,14,9,7,3,11,48,20,26,3,22,8,10,24,20,4,17,10,0,11,12,2,13,14,15,18,3,4,437,0,5,6,0,14,5,11,7,2,1,1,17,10,6,9,16,17,10,2,9,13,3,8,10,8,7,7,3,9,21,3,10,3,13,20,10,9,9,6,8,7,7,7,1,6,7,19,2,4,6,5,4,4,5,4,6,12,3,12,10,2,1,6,5,2,3,2,8,7,8,1,5,12,16,3,9,18,8,10,15,10,8,10,5,16,7,14,11,7,13,2,6,4,9,13,4,9,7,2,6,5,8,19,9,10,3,8,5,4,0,12,5,9,17,2,7,9,1,25,4,4,4,10,4,6,1,4,5,3,5,6,8,3,2,3,12,6,13,6,1,7,5,5,13,2,9,10,3,7,9,10,6,4,7,4,4,3,9,10,18,6,5,26,7,4,12,9,7,12,8,4,10,4,15,4,9,7,6,14,2
